日期,歌单id,播放量
2020/5/13,2829816518,146960000
2020/5/13,4959864126,17810
2020/5/13,2829816518,146960000
2020/5/13,2859214503,9330000
2020/5/13,3029251622,620000
2020/5/13,2738703582,620000
2020/5/13,2324605704,6560000
2020/5/13,2866624523,3490000
2020/5/13,2871955672,1430000
2020/5/13,2848226139,3550000
2020/5/13,2751412365,760000
2020/5/13,3099335800,5100000
2020/5/13,2831688182,1440000
2020/5/13,2543609929,3310000
2020/5/13,2906492713,570000
2020/5/13,3019056054,580000
2020/5/13,2869961759,480000
2020/5/13,2476865259,2810000
2020/5/13,2781412735,2350000
2020/5/13,2876067644,160000
2020/5/13,4899659549,3470000
2020/5/13,3102314489,310000
2020/5/13,3102355272,610000
2020/5/13,3102272704,190000
2020/5/13,2966247927,340000
2020/5/13,2991059968,1480000
2020/5/13,3102318465,270000
2020/5/13,2991837660,1560000
2020/5/13,2940759617,210000
2020/5/13,2550277551,19190000
2020/5/13,2715808089,920000
2020/5/13,2839184829,860000
2020/5/13,2924765628,2900000
2020/5/13,3236134881,3490000
2020/5/13,3044288218,1570000
2020/5/13,2930180903,550000
2020/5/13,2710758663,770000
2020/5/13,2819596401,2050000
2020/5/13,2941287037,230000
2020/5/13,2622967273,4840000
2020/5/13,2905981726,610000
2020/5/13,2768017642,3950000
2020/5/13,2840368993,1210000
2020/5/13,2839131415,4260000
2020/5/13,2704695734,2880000
2020/5/13,3210184177,1330000
2020/5/13,2712936322,21300000
2020/5/13,2939725092,5540000
2020/5/13,2741461072,300000
2020/5/13,2341496595,20600000
2020/5/13,3070608947,2150000
2020/5/13,3058869981,890000
2020/5/13,2930640226,1580000
2020/5/13,3101265037,19125
2020/5/13,2904364484,3310000
2020/5/13,2816437068,19610000
2020/5/13,2858603567,700000
2020/5/13,2802306619,6880000
2020/5/13,2975629162,1080000
2020/5/13,3036995411,4560000
2020/5/13,2976956482,2660000
2020/5/13,2847614853,1050000
2020/5/13,2866031102,800000
2020/5/13,2525632823,23970000
2020/5/13,2814796200,5560000
2020/5/13,2954650550,2720000
2020/5/13,3224149419,890000
2020/5/13,2893532054,300000
2020/5/13,2830740622,3750000
2020/5/13,2892898152,340000
2020/5/13,2695036375,1020000
2020/5/13,2900909299,3250000
2020/5/13,3036902708,370000
2020/5/13,2974316403,750000
2020/5/13,2984782686,2780000
2020/5/13,2929951612,840000
2020/5/13,2878734410,1710000
2020/5/13,4928319592,650000
2020/5/13,2786175968,3020000
2020/5/13,3168980939,560000
2020/5/13,2990177378,1270000
2020/5/13,2950826843,450000
2020/5/13,3110333958,3370000
2020/5/13,4909137543,530000
2020/5/13,3227472694,13934
2020/5/13,3211554240,14816
2020/5/13,4918824290,110000
2020/5/13,3182965703,13606
2020/5/13,5009910734,21338
2020/5/13,3195063951,64456
2020/5/13,4941563398,11821
2020/5/13,3231495476,18592
2020/5/13,4911013533,10931
2020/5/13,4931176732,13543
2020/5/13,3044760051,22477
2020/5/13,4899887524,13056
2020/5/13,2926891518,110000
2020/5/13,2955924359,33842
2020/5/13,4949485941,6491
2020/5/13,2989883013,140000
2020/5/13,4919214449,6584
2020/5/13,2896215780,29495
2020/5/13,3077943228,27197
2020/5/13,3110222208,140000
2020/5/13,4932495004,30205
2020/5/13,4881719833,39537
2020/5/13,3188344408,230000
2020/5/13,2997452908,200000
2020/5/13,4900225181,10032
2020/5/13,4955576456,7109
2020/5/13,4862635736,7453
2020/5/13,2782124001,71314
2020/5/13,3180785195,9532
2020/5/13,4891302952,11053
2020/5/13,2890914010,69806
2020/5/13,3182755907,170000
2020/5/13,4876832203,17298
2020/5/13,2941834839,38382
2020/5/13,3227208138,44791
2020/5/13,4940099101,7247
2020/5/13,3186308594,6680
2020/5/13,2808572530,450000
2020/5/13,3119510985,140000
2020/5/13,3227880770,100000
2020/5/13,2923649082,290000
2020/5/13,2949793491,34652
2020/5/13,2822449259,130000
2020/5/13,3237880645,72486
2020/5/13,4861959823,8159
2020/5/13,3121581563,72998
2020/5/13,4880315324,6878
2020/5/13,3175969144,110000
2020/5/13,3209020926,46778
2020/5/13,2863558174,180000
2020/5/13,4882140285,50436
2020/5/13,2883560847,300000
2020/5/13,3224123156,38907
2020/5/13,3138571767,130000
2020/5/13,3213752362,55963
2020/5/13,3020320140,71125
2020/5/13,3134261163,120000
2020/5/13,3233539744,110000
2020/5/13,4880384987,40432
2020/5/13,4875801044,24161
2020/5/13,3207561853,250000
2020/5/13,3163253465,130000
2020/5/13,3085593297,140000
2020/5/13,4895326482,190000
2020/5/13,4889744902,21229
2020/5/13,3102355272,610000
2020/5/13,3203827491,30062
2020/5/13,4889314395,120000
2020/5/13,4881319906,17978
2020/5/13,4959194862,130000
2020/5/13,4940455846,140000
2020/5/13,4997821418,38701
2020/5/13,5009599274,50407
2020/5/13,3128932473,110000
2020/5/13,4890013314,850000
2020/5/13,4933470237,18541
2020/5/13,2777984205,320000
2020/5/13,2860452195,1100000
2020/5/13,3173333093,6697
2020/5/13,4936858077,23518
2020/5/13,3166016718,110000
2020/5/13,4861786434,72994
2020/5/13,2883145616,2830000
2020/5/13,2711946178,2220000
2020/5/13,3225991658,8684
2020/5/13,3217603871,21653
2020/5/13,3198155167,950000
2020/5/13,4969813582,48105
2020/5/13,2708691583,2170000
2020/5/13,2861760098,2430000
2020/5/13,4871319334,6878
2020/5/13,3087123371,18890
2020/5/13,4881466186,28222
2020/5/13,4973519404,94234
2020/5/13,4864650891,13673
2020/5/13,4859079852,38143
2020/5/13,2687439153,2060000
2020/5/13,2761259320,900000
2020/5/13,2978035363,490000
2020/5/13,2776722599,460000
2020/5/13,2991369744,730000
2020/5/13,4920822799,40490
2020/5/13,2887168088,3330000
2020/5/13,3183149193,230000
2020/5/13,2786804468,910000
2020/5/13,3227242523,9599
2020/5/13,4889693878,37366
2020/5/13,2683746999,17870000
2020/5/13,2464078995,2370000
2020/5/13,2362006321,36460000
2020/5/13,2703033645,46520000
2020/5/13,4915961798,68286
2020/5/13,2825552570,370000
2020/5/13,2773594975,1830000
2020/5/13,3231643590,63691
2020/5/13,2926665315,27647
2020/5/13,2945426789,100000
2020/5/13,2434987000,36140000
2020/5/13,2903998296,1030000
2020/5/13,4909442208,20288
2020/5/13,4892870009,25837
2020/5/13,4859197697,150000
2020/5/13,2825759982,760000
2020/5/13,2882042971,4550000
2020/5/13,3225241908,1490000
2020/5/13,2995650489,1560000
2020/5/13,2561623331,2300000
2020/5/13,4947651928,400000
2020/5/13,4881135507,10540
2020/5/13,3223238736,11628
2020/5/13,2798087333,150000
2020/5/13,3001478311,470000
2020/5/13,2865211946,2110000
2020/5/13,4882062204,27546
2020/5/13,2950648468,57160
2020/5/13,2878288372,320000
2020/5/13,2727853808,1790000
2020/5/13,3129171154,9948
2020/5/13,2618915549,42600000
2020/5/13,4879834665,11124
2020/5/13,4908673882,160000
2020/5/13,3110875084,89265
2020/5/13,2232237850,157950000
2020/5/13,2928116437,59642
2020/5/13,3131916843,180000
2020/5/13,2867085162,34270
2020/5/13,2913623900,390000
2020/5/13,2697867308,1010000
2020/5/13,2829779628,17650000
2020/5/13,2709409904,79135
2020/5/13,4867118022,10612
2020/5/13,4864450403,100000
2020/5/13,4985983390,180000
2020/5/13,2975510329,1580000
2020/5/13,2905047558,830000
2020/5/13,2949140621,750000
2020/5/13,2986686032,310000
2020/5/13,4890328458,98560
2020/5/13,3179343096,35362
2020/5/13,4985844523,23098
2020/5/13,3170097226,8974
2020/5/13,3176179830,8075
2020/5/13,2679916677,590000
2020/5/13,2755687592,200000
2020/5/13,4880818010,270000
2020/5/13,2840884575,160000
2020/5/13,2660676614,620000
2020/5/13,3000719797,1190000
2020/5/13,4945883467,220000
2020/5/13,4858517761,12052
2020/5/13,4904383601,60113
2020/5/13,3200483160,52679
2020/5/13,4954232593,87010
2020/5/13,4880521696,150000
2020/5/13,2873336061,1620000
2020/5/13,3181777536,540000
2020/5/13,4861811550,210000
2020/5/13,2817554177,1430000
2020/5/13,2829137850,3600000
2020/5/13,2394125021,4320000
2020/5/13,3222931194,13783
2020/5/13,4865075373,47912
2020/5/13,2890700581,180000
2020/5/13,3196264232,640000
2020/5/13,3211610053,18957
2020/5/13,4931678271,87795
2020/5/13,2812061419,200000
2020/5/13,2827772008,1580000
2020/5/13,2995267320,36471
2020/5/13,2883259535,260000
2020/5/13,4969006987,21179
2020/5/13,4912676360,46152
2020/5/13,2864730005,200000
2020/5/13,3218573457,12615
2020/5/13,2892456399,130000
2020/5/13,2942278931,280000
2020/5/13,3114942053,11355
2020/5/13,2936000547,2380000
2020/5/13,3020663385,2190000
2020/5/13,2866293458,2270000
2020/5/13,4881066023,1180000
2020/5/13,2483059412,3260000
2020/5/13,2835531522,230000
2020/5/13,2974268402,64065
2020/5/13,3140793230,32565
2020/5/13,3232190719,4190000
2020/5/13,5007420012,130000
2020/5/13,4869377947,78089
2020/5/13,3188804141,9137
2020/5/13,2871897839,4440000
2020/5/13,4926923314,16748
2020/5/13,4906026654,74939
2020/5/13,2745777287,1120000
2020/5/13,3047341734,83851
2020/5/13,3027829356,2470000
2020/5/13,3186322538,790000
2020/5/13,2847841459,1730000
2020/5/13,4872845295,920000
2020/5/13,3169066795,410000
2020/5/13,3084888577,9125
2020/5/13,2936998409,510000
2020/5/13,4886532743,7281
2020/5/13,3235998761,410000
2020/5/13,3223910731,10696
2020/5/13,3223946120,220000
