,founder,event_count,follow_count,fan_count
0.01,云音乐智能推荐,4,3,50284
1,网易云音乐,16936,455,99999
2,KillBunny,1,26,21957
3,______飏,160,218,2910
4,孤单又灿烂的神丨鬼怪,103,47,4053
5,chaz1,32,56,33575
6,Lscheese,50,97,4812
7,宸极Cody,0.01,111,2663
8,我鲁班不坑,26,1,15239
9,沐辰style,2,68,2145
10,Vxe-,6,95,932
11,HUMAN00,158,249,28231
12,RJH国荣,1,9,1679
13,冷森Listen,44,118,18143
14,3KALIA,17,56,1606
15,宝藏男孩咕咕,4,18,2506
16,想养金毛的Apple,10,26,10954
17,野猫不乖哦,0.01,2,406
35,mayuko然,1426,19,187272
36,w柚w,37,8,1015
37,爱打篮球的亮亮,7,10,1524
38,Dexter_RV,3,22,452
39,茉瑾年,121,18,7140
40,k二月来的洛瑶,18,129,800
41,柠檬木有枝,2658,188,110988
42,yxich01,30,182,990
43,爱老薛的坨坨,0.01,11,337
44,金州拉文fmvp,1,22,1201
45,陪雨柔长大,0.01,3,1022
46,Amber丶Queen,744,7,13020
47,DISABLEman,87,97,2083
48,念念念安娜,48,42,9140
49,希望你每天都快乐yo,1,2,121
50,妍橙儿,0.01,5,1746
51,喜爱吃糖的小小高,0.01,47,422
52,活该你风生水起,266,26,76873
53,大白分享库,1,15,293
54,少年的半岛铁盒,582,200,15597
55,爆肝工程师的狂想曲,287,43,6576
56,时寁,10,27,596
57,惜白啦,5,6,572
58,她的水彩笔,426,66,38741
59,LEYOONAFRIEND,0.01,4,4524
60,今晚磕到死,7,64,598
61,欧美老猫,1762,319,12544
62,迟到得到,59,16,6473
63,这眼前美景与谁叙,6,106,308
64,ZRBSX,3,53,451
65,超爱吃火锅的o,1,4,83
66,Avada阿瓦达啃大瓜,21,85,1816
67,NeilShine_,8,99,3196
68,西柚甜,115,0.01,9031
69,小sun是太阳,1,3,342
70,却与蝉声乱了琴,1,2,160
71,螚安Vivienne,2411,0.01,50472
72,假衣,2,10,261
73,你的温柔既残酷,17,82,580
74,半颗番茄xi上学中,1,5,191
75,#NAME?,76,48,118
76,陪我去抓水母好吗,2,6,1030
77,一生向海,186,140,7270
78,FlyingClub,144,22,21631
79,shakemyhead,189,101,21567
80,Q子阳,1,12,150
81,Miss风范,81,29,3016
82,-KooTo-,2378,1,48864
83,YouTube视频推荐,8113,19,597087
84,宁遇夏,2813,18,89929
85,喪甜老爹,0.01,0.01,10734
86,雨露xixi,7,11,220
87,点落雨声轻叹,0.01,8,22
88,-情殇雨夜-,72,18,11496
89,You和Basketball,0.01,8,291
90,Kaleidoscott,77,74,3308
91,小攀哟,371,155,153575
92,Gotnofears_Show,2,52,173
93,小铁Joe,61,43,14050
94,小耀AAA,2,4,1674
95,柒柒柒如是,46,23,234
96,gentlemenc,1,12,206
97,于_怀_,4,14,181
98,小豪小豪是个乖宝,7,51,9741
99,濑红莉栖,61,4,1368
100,一只傻高天,4,5,354
101,桑菲尔德L,32,19,3143
102,十三逆旅Cobain,114,40,3490
103,仇远旭a,0.01,1,36642
