,founder,event_count,follow_count,fan_count
0,云音乐智能推荐,0.002805049088359046,0.008064516129032258,0.266918540558475
1,KillBunny,0.0007012622720897616,0.10080645161290322,0.11532863121167039
2,______飏,0.11220196353436185,0.875,0.013399976453715497
3,孤单又灿烂的神丨鬼怪,0.07223001402524544,0.18548387096774194,0.01951665899628611
4,chaz1,0.02244039270687237,0.2217741935483871,0.1775015251570644
5,Lscheese,0.03506311360448808,0.3870967741935484,0.02357839307311121
6,宸极Cody,0.0,0.4435483870967742,0.012078173664551068
7,我鲁班不坑,0.0182328190743338,0.0,0.07937773591771642
8,沐辰style,0.001402524544179523,0.2701612903225806,0.009306133807113119
9,Vxe-,0.004207573632538569,0.3790322580645161,0.0028148512838076485
10,HUMAN00,0.11079943899018233,1.0,0.1489034923421061
11,RJH国荣,0.0007012622720897616,0.03225806451612903,0.006812368221078205
12,冷森Listen,0.030855539971949508,0.4717741935483871,0.09491828368991684
13,3KALIA,0.011921458625525946,0.2217741935483871,0.006421713955454711
14,宝藏男孩咕咕,0.002805049088359046,0.06854838709677419,0.011237999422045744
15,想养金毛的Apple,0.0070126227208976155,0.10080645161290322,0.05644686566844691
16,野猫不乖哦,0.0,0.004032258064516129,0.0
17,云音乐智能推荐,0.002805049088359046,0.008064516129032258,0.266918540558475
18,KillBunny,0.0007012622720897616,0.10080645161290322,0.11532863121167039
19,______飏,0.11220196353436185,0.875,0.013399976453715497
20,孤单又灿烂的神丨鬼怪,0.07223001402524544,0.18548387096774194,0.01951665899628611
21,chaz1,0.02244039270687237,0.2217741935483871,0.1775015251570644
22,Lscheese,0.03506311360448808,0.3870967741935484,0.02357839307311121
23,宸极Cody,0.0,0.4435483870967742,0.012078173664551068
24,我鲁班不坑,0.0182328190743338,0.0,0.07937773591771642
25,沐辰style,0.001402524544179523,0.2701612903225806,0.009306133807113119
26,Vxe-,0.004207573632538569,0.3790322580645161,0.0028148512838076485
27,HUMAN00,0.11079943899018233,1.0,0.1489034923421061
28,RJH国荣,0.0007012622720897616,0.03225806451612903,0.006812368221078205
29,冷森Listen,0.030855539971949508,0.4717741935483871,0.09491828368991684
30,3KALIA,0.011921458625525946,0.2217741935483871,0.006421713955454711
31,宝藏男孩咕咕,0.002805049088359046,0.06854838709677419,0.011237999422045744
32,想养金毛的Apple,0.0070126227208976155,0.10080645161290322,0.05644686566844691
33,野猫不乖哦,0.0,0.004032258064516129,0.0
34,mayuko然,1.0,0.07258064516129033,1.0
35,w柚w,0.025946704067321177,0.028225806451612902,0.003259019832393266
36,爱打篮球的亮亮,0.004908835904628331,0.036290322580645164,0.0059828968351653055
37,Dexter_RV,0.0021037868162692847,0.0846774193548387,0.0002461657016257639
38,茉瑾年,0.08485273492286115,0.06854838709677419,0.036036518146693355
39,k二月来的洛瑶,0.012622720897615708,0.5161290322580645,0.0021084627487076304
