,title,tag,text,collection_ten_thousand,play_million,songs,comments_hundred
324,2018年度最热新歌TOP100,华语-欧美-榜单,介绍：2018年热度最高的100首新歌出炉！歌单综合参考了2018年1月1日至2018年12月26日网易云音乐站内所有新上架歌曲的日均播放量及收藏量（注：曲目均为2018年1月1日至2018年12月26日第一次上架新歌，已排除新发行正式专辑中收录的部分2018年前已上线歌曲）。,172,162.618848,100,55.25
315,[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,221,161.8812,35,218.75
0,[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,221,161.874256,35,218.74
218,耳朵喜欢你 好听到可以单曲循环,华语-欧美-流行,介绍：偶尔去散散步有时候也会看看自己喜欢的书更多的时间用来听歌和朋友聊聊各自的近况不用为了谁去和我不熟悉的人来往在一点一点找回自己喜欢的生活封面来自画师：zipcy,196,160.096368,244,26.81
356,那些好听到爆了的歌,华语-流行-欧美,介绍：游鱼出听，心旷神怡。（持续更新）,128,113.528304,69,25.03
67,欧美精选 | 嗨 伙计 要来首10w+吗？,欧美-流行-经典,介绍：『持续更新，歌曲排名不分先后』1. 个别曲目未收录很可能是由于我没买人家的专辑 emmmm.... 没买就是没买。没兴趣，不想买，买不起，这答案您满意吗？2. 张嘴就来“怎么没有XXX歌”前，请先瞧清楚哦！3. 歌单不代表本人听歌喜好。4. 欢迎为喜欢的歌曲/歌手打call，拒绝杠精。5. 谁再跟我推荐Lost Rivers我咬人了哦 ( _-_ )6. 我[梦龙 马老五 日日 阿呆]竟然都没有10w+，超气的！7. 是的，小鳄鱼和小仓鼠我就是偷偷藏在歌单里的。8. 本歌单为 [欧美] 歌曲集锦，不限于英文歌；纯音乐（如Fade）无收录；前奏大于2分钟的纯音向歌曲（如Monody，Unity）亦无收录。9. 最后还是那句老话：0量绝不是评价一首歌好坏的金标准!!!P.S.：封面我皮皮海最帅最A，不接受反驳,170,82.34104,49,74.1
284,善待自己 明天和意外谁先来谁都不知,华语-欧美-民谣,介绍：喜欢歌单的可以点个关注哟此歌单推荐热度最高的首歌曲，《雅俗共赏》是热评最高的歌曲不在排名，歌单是网易云音乐站内所有歌曲的日均播放量及收藏量排名，谢谢大家的喜欢和收藏，可以给我个关注！谢谢大家喜欢。VX公众号：小攀哟音乐台歌单创建：2018.6.25歌单完善：2019.6.16歌单更新：每天更新中歌单制作：小攀哟勿侵、欢迎收藏，关注！封面：97年韩国平面模特-金娜熙,74,73.97784,463,11.64
1234,碧梨/猴西/戳爷/A妹/日日/萌德/打雷/烟鬼,欧美-流行-运动,介绍：Billie O'Connel简介：我最爱的欧美歌手。以艺名Billie Eilish而被人们熟知。发布了第一张录音室专辑后在中国爆红的小精灵。由于名字与鳄梨谐音而被中国粉丝亲切的称为碧梨。碧梨的哥哥叫做Finneas O'Connel，也被称为梨哥。2001年12月18日出生于美国加利福尼亚州洛杉矶，独立歌手。YouTube ：billie ionaire以前喜欢亮绿色，现在喜欢暗黑色。Instagram ：「BILLIE EILISH 」Billie的歌声不讲究技巧，MV也并没有大制作，而是从简单中精致加之她与生俱来迷人的气质。她是BillieEilish，无需高音，低吟浅唱间便俘获你温柔的疯狂。希望你们喜欢上这个眼睛美丽到爆炸，平时冷酷到爆炸，一笑温暖到爆炸的阳光女孩子酷梨！希望你们不仅知道歌曲封面酷炸的碧梨，也记得歌单封面这个清纯的碧梨！,152,59.786136,103,23.16
215,你搜不到的土嗨神曲,华语-欧美-电子,介绍：【不喜勿喷，自用歌单+易友推荐】这歌单容易嗨上头，如果你开车/走路请注意安全！现在很多年轻人为了耍酷，过马路也要戴着耳机，殊不知这样做非常危险，0000一被车撞到，耳机不就坏了吗？？能搜到这歌单，全靠缘分，不定期在线更新。如果你有喜欢的歌也可以私信推荐，安排上！,108,49.68552,179,28.27
196,适合画画肝作业时听的歌,日语-华语-欧美,介绍：感谢收听p站 ID：65974897画师：DAL 人物：知世,80,37.512696,482,41.69
