日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
2020/2/2,奥地利,0,0,0,0,0,0,0,0
2020/2/3,奥地利,0,0,0,0,0,0,0,0
2020/2/4,奥地利,0,0,0,0,0,0,0,0
2020/2/5,奥地利,0,0,0,0,0,0,0,0
2020/2/6,奥地利,0,0,0,0,0,0,0,0
2020/2/7,奥地利,0,0,0,0,0,0,0,0
2020/2/8,奥地利,0,0,0,0,0,0,0,0
2020/2/9,奥地利,0,0,0,0,0,0,0,0
2020/2/10,奥地利,0,0,0,0,0,0,0,0
2020/2/11,奥地利,0,0,0,0,0,0,0,0
2020/2/12,奥地利,0,0,0,0,0,0,0,0
2020/2/13,奥地利,0,0,0,0,0,0,0,0
2020/2/14,奥地利,0,0,0,0,0,0,0,0
2020/2/15,奥地利,0,0,0,0,0,0,0,0
2020/2/16,奥地利,0,0,0,0,0,0,0,0
2020/2/17,奥地利,0,0,0,0,0,0,0,0
2020/2/18,奥地利,0,0,0,0,0,0,0,0
2020/2/19,奥地利,0,0,0,0,0,0,0,0
2020/2/20,奥地利,0,0,0,0,0,0,0,0
2020/2/21,奥地利,0,0,0,0,0,0,0,0
2020/2/22,奥地利,0,0,0,0,0,0,0,0
2020/2/23,奥地利,0,0,0,0,0,0,0,0
2020/2/24,奥地利,0,0,0,0,0,0,0,0
2020/2/25,奥地利,2,0,0,2,0,0,2,0
2020/2/26,奥地利,2,0,0,0,0,0,2,0
2020/2/27,奥地利,3,0,0,1,0,0,3,0.5
2020/2/28,奥地利,5,0,0,2,0,0,5,0.666666667
2020/2/29,奥地利,10,0,0,5,0,0,10,1
2020/3/1,奥地利,14,0,0,4,0,0,14,0.4
2020/3/2,奥地利,16,0,0,2,0,0,16,0.142857143
2020/3/3,奥地利,24,0,0,8,0,0,24,0.5
2020/3/4,奥地利,24,0,0,0,0,0,24,0
2020/3/5,奥地利,41,0,0,17,0,0,41,0.708333333
2020/3/6,奥地利,55,0,0,14,0,0,55,0.341463415
2020/3/7,奥地利,79,0,0,24,0,0,79,0.436363636
2020/3/8,奥地利,104,0,0,25,0,0,104,0.316455696
2020/3/9,奥地利,131,2,0,27,2,0,129,0.259615385
2020/3/10,奥地利,182,4,0,51,2,0,178,0.395348837
2020/3/11,奥地利,246,4,0,64,0,0,242,0.359550562
2020/3/12,奥地利,361,4,1,115,0,1,356,0.475206612
2020/3/13,奥地利,504,6,1,143,2,0,497,0.401685393
2020/3/14,奥地利,655,6,1,151,0,0,648,0.303822938
2020/3/15,奥地利,860,6,2,205,0,1,852,0.316358025
2020/3/16,奥地利,1016,6,3,156,0,1,1007,0.183098592
2020/3/17,奥地利,1332,9,3,316,3,0,1320,0.313803376
2020/3/18,奥地利,1646,9,4,314,0,1,1633,0.237878788
2020/3/19,奥地利,2179,9,6,533,0,2,2164,0.326393141
2020/3/20,奥地利,2649,9,6,470,0,0,2634,0.217190388
2020/3/21,奥地利,2695,9,7,46,0,1,2679,0.017463933
2020/3/22,奥地利,3244,9,16,549,0,9,3219,0.204927212
2020/3/23,奥地利,3924,9,21,680,0,5,3894,0.211245728
2020/3/24,奥地利,4876,9,28,952,0,7,4839,0.244478685
2020/3/25,奥地利,5560,9,30,684,0,2,5521,0.141351519
2020/3/26,奥地利,6001,9,42,441,0,12,5950,0.079876834
2020/3/27,奥地利,7557,9,49,1556,0,7,7499,0.261512605
2020/3/28,奥地利,8271,225,68,714,216,19,7978,0.095212695
2020/3/29,奥地利,8774,479,86,503,254,18,8209,0.063048383
2020/3/30,奥地利,9618,636,108,844,157,22,8874,0.102813985
2020/3/31,奥地利,10180,1095,128,562,459,20,8957,0.06333108
2020/4/1,奥地利,10711,1436,146,531,341,18,9129,0.059283242
2020/4/2,奥地利,11129,1749,158,418,313,12,9222,0.045788148
2020/4/3,奥地利,11506,2022,168,377,273,10,9316,0.040880503
2020/4/4,奥地利,11781,2507,186,275,485,18,9088,0.029519107
2020/2/2,澳大利亚,12,2,0,0,0,0,10,0
2020/2/3,澳大利亚,12,2,0,0,0,0,10,0
2020/2/4,澳大利亚,13,2,0,1,0,0,11,0.1
2020/2/5,澳大利亚,14,2,0,1,0,0,12,0.090909091
2020/2/6,澳大利亚,15,5,0,1,3,0,10,0.083333333
2020/2/7,澳大利亚,15,5,0,0,0,0,10,0
2020/2/8,澳大利亚,15,5,0,0,0,0,10,0
2020/2/9,澳大利亚,15,5,0,0,0,0,10,0
2020/2/10,澳大利亚,15,5,0,0,0,0,10,0
2020/2/11,澳大利亚,15,5,0,0,0,0,10,0
2020/2/12,澳大利亚,15,5,0,0,0,0,10,0
2020/2/13,澳大利亚,15,5,0,0,0,0,10,0
2020/2/14,澳大利亚,15,5,0,0,0,0,10,0
2020/2/15,澳大利亚,15,5,0,0,0,0,10,0
2020/2/16,澳大利亚,15,5,0,0,0,0,10,0
2020/2/17,澳大利亚,15,5,0,0,0,0,10,0
2020/2/18,澳大利亚,15,5,0,0,0,0,10,0
2020/2/19,澳大利亚,15,5,0,0,0,0,10,0
2020/2/20,澳大利亚,17,5,0,2,0,0,12,0.2
2020/2/21,澳大利亚,17,5,0,0,0,0,12,0
2020/2/22,澳大利亚,17,5,0,0,0,0,12,0
2020/2/23,澳大利亚,22,10,0,5,5,0,12,0.416666667
2020/2/24,澳大利亚,22,10,0,0,0,0,12,0
2020/2/25,澳大利亚,23,15,0,1,5,0,8,0.083333333
2020/2/26,澳大利亚,23,15,0,0,0,0,8,0
2020/2/27,澳大利亚,23,15,0,0,0,0,8,0
2020/2/28,澳大利亚,25,15,0,2,0,0,10,0.25
2020/2/29,澳大利亚,25,15,0,0,0,0,10,0
2020/3/1,澳大利亚,28,15,1,3,0,1,12,0.3
2020/3/2,澳大利亚,33,15,1,5,0,0,17,0.416666667
2020/3/3,澳大利亚,40,21,1,7,6,0,18,0.411764706
2020/3/4,澳大利亚,44,21,2,4,0,1,21,0.222222222
2020/3/5,澳大利亚,60,21,2,16,0,0,37,0.761904762
2020/3/6,澳大利亚,64,21,2,4,0,0,41,0.108108108
2020/3/7,澳大利亚,74,21,3,10,0,1,50,0.243902439
2020/3/8,澳大利亚,83,21,3,9,0,0,59,0.18
2020/3/9,澳大利亚,101,22,3,18,1,0,76,0.305084746
2020/3/10,澳大利亚,117,22,3,16,0,0,92,0.210526316
2020/3/11,澳大利亚,128,24,3,11,2,0,101,0.119565217
